employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id
153,Christopher,Olsen,COLSEN,011.44.1344.498718,1998-03-30,SA_REP,8000,0.2,145,80
154,Nanette,Cambrault,NCAMBRAU,011.44.1344.987668,1998-12-09,SA_REP,7500,0.2,145,80
155,Oliver,Tuvault,OTUVAULT,011.44.1344.486508,1999-11-23,SA_REP,7000,0.15,145,80
156,Janette,King,JKING,011.44.1345.429268,1996-01-30,SA_REP,10000,0.35,146,80
157,Patrick,Sully,PSULLY,011.44.1345.929268,1996-03-04,SA_REP,9500,0.35,146,80
158,Allan,McEwen,AMCEWEN,011.44.1345.829268,1996-08-01,SA_REP,9000,0.35,146,80
159,Lindsey,Smith,LSMITH,011.44.1345.729268,1997-03-10,SA_REP,8000,0.3,146,80
160,Louise,Doran,LDORAN,011.44.1345.629268,1997-12-15,SA_REP,7500,0.3,146,80
161,Sarath,Sewall,SSEWALL,011.44.1345.529268,1998-11-03,SA_REP,7000,0.25,146,80
162,Clara,Vishney,CVISHNEY,011.44.1346.129268,1997-11-11,SA_REP,10500,0.25,147,80
163,Danielle,Greene,DGREENE,011.44.1346.229268,1999-03-19,SA_REP,9500,0.15,147,80
164,Mattea,Marvins,MMARVINS,011.44.1346.329268,2000-01-24,SA_REP,7200,0.1,147,80
165,David,Lee,DLEE,011.44.1346.529268,2000-02-23,SA_REP,6800,0.1,147,80
166,Sundar,Ande,SANDE,011.44.1346.629268,2000-03-24,SA_REP,6400,0.1,147,80
167,Amit,Banda,ABANDA,011.44.1346.729268,2000-04-21,SA_REP,6200,0.1,147,80
168,Lisa,Ozer,LOZER,011.44.1343.929268,1997-03-11,SA_REP,11500,0.25,148,80
169,Harrison,Bloom,HBLOOM,011.44.1343.829268,1998-03-23,SA_REP,10000,0.2,148,80
170,Tayler,Fox,TFOX,011.44.1343.729268,1998-01-24,SA_REP,9600,0.2,148,80
171,William,Smith,WSMITH,011.44.1343.629268,1999-02-23,SA_REP,7400,0.15,148,80
172,Elizabeth,Bates,EBATES,011.44.1343.529268,1999-03-24,SA_REP,7300,0.15,148,80
173,Sundita,Kumar,SKUMAR,011.44.1343.329268,2000-04-21,SA_REP,6100,0.1,148,80
174,Ellen,Abel,EABEL,011.44.1644.429267,1996-05-11,SA_REP,11000,0.3,149,80
175,Alyssa,Hutton,AHUTTON,011.44.1644.429266,1997-03-19,SA_REP,8800,0.25,149,80
176,Jonathon,Taylor,JTAYLOR,011.44.1644.429265,1998-03-24,SA_REP,8600,0.2,149,80
177,Jack,Livingston,JLIVINGS,011.44.1644.429264,1998-04-23,SA_REP,8400,0.2,149,80
178,Kimberely,Grant,KGRANT,011.44.1644.429263,1999-05-24,SA_REP,7000,0.15,149,NULL
179,Charles,Johnson,CJOHNSON,011.44.1644.429262,2000-01-04,SA_REP,6200,0.1,149,80
201,Michael,Hartstein,MHARTSTE,515.123.5555,1996-02-17,MK_MAN,13000,NULL,100,20
202,Pat,Fay,PFAY,603.123.6666,1997-08-17,MK_REP,6000,NULL,201,20
203,Susan,Mavris,SMAVRIS,515.123.7777,1994-06-07,HR_REP,6500,NULL,101,40
204,Hermann,Baer,HBAER,515.123.8888,1994-06-07,PR_REP,10000,NULL,101,70
205,Shelley,Higgins,SHIGGINS,515.123.8080,1994-06-07,AC_MGR,12000,NULL,101,110
206,William,Gietz,WGIETZ,51hr5.123.8181,1994-06-07,AC_ACCOUNT,8300,NULL,205,110
